345,2,2020-01-01T12:00:00,Food,-25.50,Regular,
1534,4,2020-02-15T08:30:00,Transport,-15.00,Regular,
1534,6,2020-03-22T19:00:00,Entertainment,-45.00,Recurrent,monthly
61234,8,2020-04-15T14:15:00,Salary,5000.00,Taxable,0.20
48922,10,2020-05-10T11:00:00,Utilities,-100.00,Taxable,0.10
61234,12,2020-06-18T16:20:00,Leisure,-75.99,ForeignCurrency,0.85
23459,14,2020-07-05T07:45:00,Food,-12.50,Regular,
4536,16,2020-08-01T20:00:00,Investment,1000.00,Taxable,0.15
59012,18,2020-09-14T09:30:00,Transport,-20.00,Regular,
48970,20,2020-10-08T15:45:00,Health,-200.00,Recurrent,weekly
345,22,2020-11-03T18:00:00,Travel,-1500.00,ForeignCurrency,1.25
18793,24,2020-12-22T06:30:00,Food,-30.00,Regular,
614,26,2021-01-12T13:00:00,Education,-250.00,Recurrent,biweekly
1756,28,2021-02-18T17:15:00,Housing,-1200.00,Taxable,0.25
61823,30,2021-03-10T10:45:00,Utilities,-80.00,Regular,
36,32,2021-04-25T09:00:00,Housing,-300.00,Commentable,Additional maintenance fee
36,34,2021-05-15T08:20:00,Food,-12.00,Regular,
345,36,2021-06-02T12:30:00,Transport,-18.00,Regular,
614,38,2021-07-14T16:00:00,Entertainment,-50.00,Recurrent,monthly
1756,40,2021-08-03T07:45:00,Health,-300.00,Recurrent,weekly
61823,42,2021-09-18T13:15:00,Salary,5200.00,Taxable,0.20
61823,44,2021-10-25T05:50:00,Leisure,-60.00,ForeignCurrency,0.90
48922,46,2021-11-11T17:30:00,Food,-10.00,Regular,
23459,48,2021-12-01T12:45:00,Investment,1500.00,Taxable,0.15
61823,50,2022-01-15T09:10:00,Utilities,-120.00,Taxable,0.05
61823,52,2022-02-13T15:30:00,Travel,-2000.00,ForeignCurrency,1.28
23459,54,2022-03-20T10:20:00,Food,-20.50,Regular,
614,56,2022-04-22T13:55:00,Education,-220.00,Recurrent,biweekly
4536,58,2022-05-17T06:15:00,Transport,-12.00,Regular,
59012,60,2022-06-18T17:40:00,Housing,-1250.00,Taxable,0.25
18793,62,2022-07-25T09:50:00,Utilities,-75.00,Regular,
18793,64,2022-08-15T15:00:00,Leisure,-50.50,Commentable,New book
4536,66,2022-09-10T19:45:00,Food,-13.50,Regular,
1534,68,2022-10-05T14:30:00,Entertainment,-70.00,Recurrent,monthly
7214,70,2022-11-07T18:00:00,Health,-250.00,Recurrent,weekly
18793,72,2022-12-25T07:25:00,Salary,5300.00,Taxable,0.20
48922,74,2023-01-20T12:10:00,Transport,-17.00,Regular,
